a,m,m,i,i
kin,m,m,i,i
akesi,pʷ,pw,ɛ̤ː,ɛ̤ɛ̤
ala,ŋ,ŋ,eː,ee
alasa,ɹ,ɹ,ḭ̃,ḭ̃
ale,ɾ,r,ɔː,ɔɔ
ali,ɾ,r,ɔː,ɔɔ
anpa,ʈʂ,ʈʂ,ʏ,ʏ
ante,ɡʷ,gw,ɤ,ɤ
anu,ts',ts',ḭ,ḭ
awen,ð,ð,yː,yy
e,p,p,o,o
en,ɲ,ɲ,ã,ã
esun,ᵑk,ŋk,ɛ̰,ɛ̰
ijo,ʒ,ʒ,ɪ̃,ɪ̃
ike,ts,ts,ɔ̃,ɔ̃
ilo,ɟʝ,ɟh,ui,ui
insa,tʲ,tj,ou,ou
jaki,sː,ss,ɤː,ɤɤ
jan,s,s,ɔ,ɔ
jelo,tː,tt,uo,uo
jo,pʰ,ph,ʌ,ʌ
kala,mʲ,mj,ɯ̤,ɯ̤
kalama,ᵐb,mb,ũː,ũũ
kama,f,f,ũ,ũ
kasi,hʷ,hw,ʌː,ʌʌ
ken,v,v,ɛ̃,ɛ̃
kepeken,p',p',ɘ,ɘ
kili,ç,ç,ia,ia
kiwen,ᵑɡ,ŋg,ɪː,ɪɪ
ko,ɥ,ɥ,ɨi,ɨi
kon,mː,mm,o̰,o̰
kule,qʷ,qw,ɯa,ɯa
kulupu,ɬ,lh,ɜ,ɜ
kute,tsʰ,tsh,o̤,o̤
la,t,t,iː,ii
lape,ʈʰ,ʈh,ḛ,ḛ
laso,q',q',ṳ,ṳ
lawa,ɣ,ɣ,ʊ̃,ʊ̃
len,kʷ',kw',ʉː,ʉʉ
lete,fʷ,fw,əu,əu
li,j,j,u,u
lili,tʰ,th,ãː,ãã
linja,cçʰ,çh,ɤ̃,ɤ̃
lipu,ʁ,rh,a̤,a̤
loje,bʷ,bw,ɛ̤,ɛ̤
lon,dʒ,dʒ,ɛː,ɛɛ
luka,kp,kp,ɑ,ɑ
lukin,kʷ,kw,əː,əə
oko,kʷ,kw,əː,əə
lupa,ⁿdʒ,ndʒ,æ̃,æ̃
ma,ɡb,gb,ɨ̃,ɨ̃
mama,nː,nn,e̤,e̤
mani,ɡː,gg,i̤ː,i̤i̤
meli,ɖ,ɖ,œ,œ
mi,n,n,ɛ,ɛ
mije,ʎ,ʎ,a̰,a̰
moku,kʰ,kh,ɯ,ɯ
moli,ɳ,ɳ,ɔ̃ː,ɔ̃ɔ̃
monsi,pʲ,pj,æ̃ː,æ̃æ̃
mu,ʝ,jh,ɨ̃ː,ɨ̃ɨ̃
mun,dʲ,dj,ea,ea
musi,ᵑᵐɡb,ŋmgb,ua,ua
mute,ʔ,ʔ,ɪ,ɪ
nanpa,χ,xh,ẽː,ẽẽ
nasa,q,q,ʉ,ʉ
nasin,cç,cç,ɯː,ɯɯ
nena,ʄ,ʄ,ã̰,ã̰
ni,b,b,aː,aa
nimi,dz,dz,ø,ø
noka,ⁿz,nz,ɐː,ɐɐ
o,z,z,ẽ,ẽ
olin,ŋʷ,ŋw,ɑ̃,ɑ̃
ona,h,h,ə,ə
open,ɭ,ɭ,øː,øø
pakala,ɡʲ,gj,ɔ̤,ɔ̤
pali,c,c,y,y
palisa,lː,ll,uə,uə
pan,d̤,dh,u̥,u̥
pana,k',k',ɑː,ɑɑ
pi,ɡ,g,oː,oo
pilin,t',t',ɐ,ɐ
pimeja,kː,kk,ʌ̃,ʌ̃
pini,ŋm,ŋm,ə̃ː,ə̃ə̃
pipi,ɮ,ɮ,ɯə,ɯə
poka,ʕ,ʕ,ṳː,ṳṳ
poki,ᶬv,mv,ɒ̃,ɒ̃
pona,w,w,e,e
pu,ʐ,zh,i̥,i̥
sama,ɸ,ɸ,ɒ,ɒ
seli,ɡʰ,gh,əi,əi
selo,qʰ,qh,ɔ̰,ɔ̰
seme,ⁿd,nd,ə̃,ə̃
sewi,xʷ,xw,i̤,i̤
sijelo,mʷ,mw,ɵ,ɵ
sike,cʰ,ch,iə,iə
sin,ʈ,ʈ,au,au
namako,ʈ,ʈ,au,au
sina,d,d,ĩ,ĩ
sinpin,bː,bb,ɒː,ɒɒ
sitelen,ɽ,ɽ,ɛ̃ː,ɛ̃ɛ̃
sona,tʃ,tʃ,ɨ,ɨ
soweli,θ,θ,oi,oi
suli,x,x,æ,æ
suno,ʂ,ʂ,ɯ̃,ɯ̃
supa,jː,jj,a̤ː,a̤a̤
suwi,χʷ,xhw,ɔ̤ː,ɔ̤ɔ̤
tan,tʃʰ,tʃh,õː,õõ
taso,tʃ',tʃ',æː,ææ
tawa,l,l,uː,uu
telo,ɗ,ɗ,ai,ai
tenpo,ʃ,ʃ,ʊ,ʊ
toki,k,k,a,a
tomo,ɟ,ɟ,ĩː,ĩĩ
tu,β,β,ɨː,ɨɨ
unpa,kʲ,kj,ei,ei
uta,pː,pp,iu,iu
utala,ɦ,ɦ,ṵ,ṵ
walo,ᵑɡʷ,ŋgw,ɔi,ɔi
wan,ɓ,ɓ,ʊː,ʊʊ
waso,b̤,bh,ɑ̃ː,ɑ̃ɑ̃
wawa,ħ,hh,ie,ie
weka,ⁿdz,ndz,œː,œœ
wile,r,rr,õ,õ
